geration,id,w1,w2,w3,averageScore,winRate,scores
1,5,-2.346184877072549,15.20316429599817,-8.553910845322399,1497.9,0.5,"[2206.0, 988.0, 1474.0, 2128.0, -94.0, 2266.0, 2176.0, 991.0, 474.0, 2370.0]"
1,6,-8.012470573323682,7.512252112620118,-13.283432064756703,997.0,0.3,"[152.0, 965.0, -160.0, 1873.0, 2206.0, -45.0, 389.0, 1328.0, 1142.0, 2120.0]"
1,7,-5.215824926329455,16.53581306219297,-1.579410143738869,1217.7,0.4,"[2401.0, 191.0, 269.0, 729.0, 1930.0, 2732.0, 709.0, 428.0, 2380.0, 408.0]"
1,8,4.509497952496199,16.009894674383993,-13.788704523490036,67.0,0.0,"[-254.0, 633.0, 361.0, 234.0, -344.0, -23.0, 124.0, -402.0, 29.0, 312.0]"
1,9,4.282294086562079,3.717229814462506,-13.375157821310152,-344.8,0.0,"[-62.0, -735.0, -1021.0, -481.0, -407.0, -409.0, 628.0, -578.0, 66.0, -449.0]"
1,10,-2.346184877072549,14.251599588203707,-8.553910845322399,1002.7,0.4,"[2035.0, 1988.0, 1873.0, 1167.0, 103.0, -81.0, 634.0, -205.0, 2030.0, 483.0]"
1,11,-7.809354513187172,7.512252112620118,-13.61861367617312,1186.8,0.4,"[1372.0, 475.0, 2752.0, 2392.0, 32.0, 13.0, 807.0, 1335.0, 2316.0, 374.0]"
1,12,-4.559783552136048,16.53581306219297,-1.579410143738869,753.7,0.2,"[98.0, 271.0, 2204.0, 513.0, -93.0, -176.0, 1949.0, 1191.0, 570.0, 1010.0]"
1,13,3.6303865553768384,16.009894674383993,-13.788704523490036,-231.2,0.0,"[285.0, -711.0, -422.0, -41.0, -437.0, 923.0, -260.0, -2342.0, 524.0, 169.0]"
1,14,4.282294086562079,3.717229814462506,-13.66594540251789,-303.1,0.0,"[-207.0, -474.0, -98.0, -338.0, -70.0, -1313.0, 22.0, -13.0, -278.0, -262.0]"
2,0,-2.346184877072549,15.20316429599817,-8.553910845322399,1484.1,0.5,"[2261.0, 1092.0, 1039.0, 2092.0, 2442.0, 921.0, 2033.0, 83.0, 2873.0, 5.0]"
2,1,-4.585401822500259,7.512252112620118,-13.61861367617312,879.2,0.3,"[112.0, 564.0, 2344.0, -124.0, 2541.0, 1755.0, 389.0, 545.0, -427.0, 1093.0]"
2,2,-5.215824926329455,16.53581306219297,-1.579410143738869,1470.5,0.5,"[2101.0, 1425.0, 2126.0, 1371.0, 478.0, 1807.0, 796.0, 270.0, 1957.0, 2374.0]"
2,3,-8.012470573323682,14.510739012648209,-8.553910845322399,1388.2,0.4,"[983.0, 2064.0, 1788.0, 2239.0, 239.0, 1279.0, 1069.0, 905.0, 2334.0, 982.0]"
2,4,-7.809354513187172,7.512252112620118,-13.61861367617312,847.8,0.2,"[250.0, 2235.0, 679.0, 2156.0, -35.0, 711.0, 916.0, 364.0, 1326.0, -124.0]"
2,5,-2.346184877072549,7.512252112620118,-14.04305253211012,1127.3,0.4,"[711.0, 2071.0, 1048.0, 62.0, 871.0, 2369.0, -297.0, 44.0, 1967.0, 2427.0]"
2,6,-4.585401822500259,16.53581306219297,-1.7504450630520219,973.8,0.3,"[143.0, 530.0, 114.0, 2655.0, 2625.0, 52.0, 44.0, 1948.0, 679.0, 948.0]"
2,7,-5.215824926329455,15.031843370519692,-8.553910845322399,971.8,0.3,"[593.0, -43.0, 1528.0, 2182.0, 1427.0, -341.0, 2094.0, 703.0, 785.0, 790.0]"
2,8,-8.012470573323682,7.512252112620118,-13.584424420209803,1129.9,0.3,"[305.0, 914.0, 2210.0, 2479.0, 1079.0, 2325.0, 388.0, 596.0, 243.0, 760.0]"
2,9,-7.809354513187172,15.20316429599817,-8.173773966929557,926.6,0.3,"[630.0, -299.0, 741.0, 39.0, 1973.0, 2241.0, -31.0, 2208.0, 493.0, 1271.0]"
2,10,-2.346184877072549,7.216302120641063,-13.61861367617312,1194.1,0.3,"[1018.0, 1054.0, 1500.0, 2191.0, 65.0, 2135.0, -291.0, 783.0, 1421.0, 2065.0]"
2,11,-4.585401822500259,16.53581306219297,-2.3830856213413645,1464.1,0.4,"[1156.0, 1719.0, 2338.0, 2250.0, 963.0, 2082.0, 983.0, 1317.0, 890.0, 943.0]"
2,12,-5.215824926329455,14.510739012648209,-8.04670882911532,1331.1,0.5,"[2143.0, 2265.0, 2055.0, 2449.0, -309.0, 431.0, 952.0, 412.0, 2673.0, 240.0]"
2,13,-8.012470573323682,6.604607038687169,-13.61861367617312,1069.5,0.2,"[2206.0, 671.0, 1383.0, 2053.0, 457.0, 673.0, -146.0, 867.0, 1023.0, 1508.0]"
2,14,-8.162202254237657,15.20316429599817,-8.553910845322399,1351.9,0.5,"[1249.0, 2465.0, 1441.0, 1097.0, 1466.0, 1096.0, 2452.0, 121.0, -266.0, 2398.0]"
3,0,-2.346184877072549,15.20316429599817,-8.553910845322399,969.9,0.2,"[819.0, 966.0, 862.0, 494.0, 1467.0, 1994.0, 2406.0, 323.0, 218.0, 150.0]"
3,1,-5.215824926329455,16.53581306219297,-1.579410143738869,1605.1,0.6,"[2503.0, 2487.0, 2388.0, 1027.0, 2441.0, 903.0, 74.0, -92.0, 2226.0, 2094.0]"
3,2,-4.585401822500259,16.53581306219297,-2.3830856213413645,1134.3,0.3,"[997.0, 56.0, 2058.0, 2303.0, 1077.0, 152.0, 2357.0, 1088.0, 638.0, 617.0]"
3,3,-8.012470573323682,14.510739012648209,-8.553910845322399,1129.2,0.3,"[1411.0, 92.0, 327.0, 648.0, 2227.0, 1957.0, 997.0, 2356.0, 1079.0, 198.0]"
3,4,-8.162202254237657,15.20316429599817,-8.553910845322399,930.2,0.3,"[850.0, 42.0, 716.0, 1269.0, 1465.0, 2743.0, 2024.0, 414.0, -96.0, -125.0]"
3,5,-2.3434730844684197,16.53581306219297,-1.579410143738869,1361.5,0.4,"[2511.0, 2327.0, 234.0, 2311.0, 1846.0, 895.0, 1216.0, 1007.0, 1085.0, 183.0]"
3,6,-5.215824926329455,16.3716444757279,-2.3830856213413645,983.8,0.3,"[1958.0, 144.0, -203.0, 826.0, 2206.0, 1160.0, -130.0, 930.0, 2134.0, 813.0]"
3,7,-4.585401822500259,14.510739012648209,-8.022980931705462,1140.4,0.4,"[1146.0, 161.0, 820.0, 1992.0, 1865.0, -244.0, 2267.0, 622.0, 2289.0, 486.0]"
3,8,-7.708688266139332,15.20316429599817,-8.553910845322399,1117.8,0.4,"[2441.0, 2465.0, -62.0, 837.0, 32.0, 762.0, 2183.0, -320.0, 2002.0, 838.0]"
3,9,-8.162202254237657,15.248336104416493,-8.553910845322399,874.4,0.2,"[1818.0, -278.0, 106.0, 1316.0, 2385.0, 644.0, 128.0, 364.0, 766.0, 1495.0]"
3,10,-2.346184877072549,16.53581306219297,-1.6791510403341028,799.3,0.1,"[202.0, 2687.0, 460.0, 237.0, 424.0, 1006.0, 193.0, 615.0, 1217.0, 952.0]"
3,11,-4.732794966507386,16.53581306219297,-2.3830856213413645,983.9,0.3,"[2614.0, 2950.0, -194.0, 1221.0, 909.0, -275.0, 336.0, -194.0, 33.0, 2439.0]"
3,12,-4.585401822500259,14.510739012648209,-8.994570624939925,1261.4,0.5,"[1999.0, 2128.0, 2207.0, 2382.0, 920.0, 625.0, -266.0, 2227.0, -79.0, 471.0]"
3,13,-8.728377011118988,15.20316429599817,-8.553910845322399,1458.2,0.5,"[2136.0, 2065.0, 222.0, 1616.0, 1905.0, 916.0, 2216.0, 1667.0, 835.0, 1004.0]"
3,14,-8.162202254237657,15.20316429599817,-8.004483572247183,1135.7,0.3,"[1136.0, 593.0, 2398.0, 1311.0, 205.0, 1076.0, 13.0, 2184.0, -128.0, 2569.0]"
